star_academy_sessions
Module,Session,Focus,Objectives,Materials,Teacher_Preparations,Performance_Assessment_Questions,,,
Plants & Pollination,2,"Microscope Use, Plant Cell Structures","• Identify and learn the functions of cell organelles.
• Compare plant and animal cells.
• Learn to use the microscope.
• Use the microscope to observe visible plant cell structures.","Microscope, lens paper, Elodea Leaf Slide","In this section students utilize a scalpel. Set precautions for this sharp object. Students should not need to cut the bean seed; light pressure with the scalpel tip should cause the seed to break open. Students will utilize Applied Vision software loaded on student's desktops (Launch button not functionable).",N/A,,,
Plants & Pollination,3,"Plant Structure, Seed Dissection, Root-Stem-Leaf Model","• Distinguish between monocots and dicots.
• Dissect monocot and dicot seeds.
• Define the functions of major plant organs and tissues.","""""Seed Germination"""" Worksheet, jar of seeds from session 1, 2 cutting boards, 2 dissection kits, 2 magnifying glasses, 2 """"Seed Structure"""" worksheets, paper towels, Student Module Notebook",N/A,"1. Correctly identify monocot and dicot seeds and explain the difference.
2. Show your completed """"Seed Structure"""" worksheet and explain the function of any seed structure requested by your teacher.
3. Using the Root-Stem-Leaf model, identify the root, stem, and leaf, and explain the major function of each.
4. Using the Root-Stem-Leaf model, identify guard cells, palisade parenchyma, xylem, and phloem. Explain the function of each.",,,
Plants & Pollination,4,"Plant Sexual Reproduction, Flower Model, Pollination","• Define sexual reproduction.
• Identify plant reproductive structures.
• Learn the definition and importance of pollination.","""""Seed Germination"""" Worksheet, flower model, """"Flower Structure"""" worksheet",N/A,N/A,,,
Plants & Pollination,5,"Plant Reproduction, Tropisms, Stomata","• Compare sexual and asexual reproduction.
• Define plant tropisms.
• Look at leaf stomata under the microscope.
• Complete the """"Seed Germination"""" worksheet.","""""Seed Germination"""" worksheet, microscope, lens paper, """"Dicot Leaf Epidermis Sedum w.m."""" slide","Students will need access to a printer. Students will utilize the Applied Version software (locate on computer - launch button may or may not launch).","1. On the flower model, point out the male and female reproductive structures. Name each structure and its parts.
2. Explain the process of pollination and distinguish between self-pollination and cross-pollination.
3. Explain what seeds and fruits are and tell what parts of the flower are used to form them.
4. Distinguish between sexual reproduction and asexual, or vegetative, reproduction. Give an example of vegetative reproduction.",,,
Plants & Pollination,6,"Plant Pigments","• Define photosynthesis.
• Extract pigments used in photosynthesis.","""""Seed Germination"""" worksheet, 2-3 spinach leaves, cutting board, dissection kit, 2 glass test tubes, test tube rack, cork, glass rode, acetone, pipette pump, 10 mL glass pipette, paper chromatography strip, paper clip, paper towels, 2 """"Plant Pigments"""" worksheets, student module notebook, lab coat, safety goggles, neoprene gloves scissors","Students will need access to fresh raw spinach. Each pair of students will need two or three spinach leaves. This session is almost all ""hands-on"" and involves a lot of equipment and supplies. To speed up the session, consider setting out all items needed prior to the start of the session. Students should be made aware that slide 607 informs students to use chromatography solvent. Chromatography solvent is no longer used, students will use acetone instead. Chromatography solvent and acetone is flammable and toxic, therefore proper precautions should be taken. Students are instructed not to breathe the fumes and to wear lab coats, goggles, and neoprene gloves during the experiment. Obviously, it should be kept away from any source of flame. Solvent from the ""clean"" test tube (the one in which the paper strip is immersed) can be safely returned to the bottle after the experiment. The ""green"" solvent (less than 5 ml) can be safely washed down the drain during cleanup.",N/A,,,
Plants & Pollination,7,"Photosynthesis","• Conduct a photosynthesis experiment.
• List factors that affect rates of photosynthesis.","""""Seed Germination"""" worksheet, live elodea, 4 small test tubes, test tube rack, 2 – 250 mL glass beakers, distilled water, sodium bicarbonate solution, 1,000 mL handled beaker, grease pencil, dissection kit, centimeter ruler, glass rod, timer, grow light, paper towels, 2 """"Photosynthesis Experiment"""" worksheet, lab coat, disposable gloves","For this session you will need to supply one bunch of the aquarium plant Elodea (also called Anacharis) which is available at pet stores selling fish and aquarium supplies. Each pair will use 5-6 cm pieces of Elodea, which can be cut from the same spring. If Elodea is not available, any leafy green water plant that is available in your areas can be substituted. Students will need access to pourable 2-quart containers of distilled water. Label two containers with masking tape 1 – distilled water and 1 – sodium bicarbonate solution – prior to the start of the lesson. Make the sodium bicarbonate solution by adding four to six tablespoons of baking soda to two quarts of distilled water. Shake well to dissolve all the baking soda. If there are not enough bubbles being produced when students are making the sodium bicarbonate solution, advice students to add additional baking soda to increase CO2 concentration. (Students will make but will need ""recipe"" for sodium bicarbonate solution.) This session is almost all ""hands-on"" and involves a lot of equipment and supplies. To speed up the session, consider setting out all items needed prior to the start of the session.","1. Show your completed ""Plant Pigments"" worksheet and chromatography strip from Session six. Explain the purpose of the chromatography activity.
2. List the reactants and products for the photosynthesis reaction and tell the source of energy needed to start this reaction.
3. Show your setup for measuring photosynthesis. Explain what factor you tested in this experiment and what substance you measured.
4. Show your completed ""Photosynthesis Experiment"" worksheet and explain your results to your teacher's satisfaction.",,,
Plastics & Polymers,1,"Atoms, molecules, and polymers","• Explore various polymers and monomers.
• Examine uses for various polymers.
• Compare the characteristics of polymers.
• Examine the relationship between a polymer's characteristics and its molecular structure.","Nylon hose, nylon fabric, plastic, putty, foam",N/A,"1. Explain the terms atom and molecule. Give an example of each.
2. Explain the terms monomer and polymer.
3. Explain how a polymer's molecular structure affects its characteristics.
4. Name at least three polymers. Give a use for each of the polymers that you name.",,,
Plastics & Polymers,2,"Creating polymers","• Examine the difference between an element and a compound.
• Create a polymer from compounds simpler than the polymer itself.","Digital scale, white glue, colored glue, borax, water bottle, three 100-mL beakers, two 50-mL beakers, 100-mL graduated cylinder, two metal spoons, sealable plastic bags, waxed paper, disposable gloves, safety glasses",N/A,N/A,,,
Plastics & Polymers,3,"Polymer analysis","• Explore the concept of conservation of mass.
• Examine the properties of the polymers created during Session 2.
• Compare the properties of polymers.","Digital scale, disposable gloves, waxed paper, sealed and unsealed polymer samples created during Session 2",N/A,"1. Explain the difference between an element and a compound.
2. Compare and contrast the polymers created during Session 2.
3. Explain the differences between the polymers stored in a sealed storage container and those left in the open air.
4. Define and explain the concept of conservation of mass.",,,
Plastics & Polymers,4,"Vacuum forming","• Explore the concept of forming polymers.
• Vacuum form a sheet of plastic.","Vacuum former, polyethylene terephthalate glycol-modified shets, figures for molding, spoon, safety glasses, leather gloves",N/A,N/A,,,
Plastics & Polymers,5,"Injection molding","• Use the injection molder to form polyethylene.
• Recycle polyethylene.
• Compare the properties of molded first-generation and second-generation polyethylene.","Injection molder, mold, polyethylene pellets, laboratory scoop, digital scale, safety glasses, leather gloves",N/A,N/A,,,
Plastics & Polymers,6,"Recycling polymers","• Use the injection molder to form polyethylene terephthalate glycol-modified plastic, or PETG.
• Compare the properties of PETG and the polyethylene used to make the golf tees.","Injection molder, mold, polyethylene tees, formed polyethylene terephthalate plastic sheets, scissors, laboratory scoop, digital scale, safety glasses, leather gloves",N/A,"1. Demonstrate the process of injection molding.
2. Compare the melting points of polyethylene terephthalate glycol-modified plastic and polyethylene.
3. Compare the properties of an injection-molded polyethylene terephthalate plastic golf tee with those of an injection-molded polyethylene golf tee.
4. Explain advantages and limitations of recycling polymers.",,,
Plastics & Polymers,7,"The absorption polymer","• Explore uses for non-plastic synthetic polymers.
• Determine absorption capacity of sodium polyacrylate.
• Explore biopolymers.","Sodium polyacrylate, digital scale, four 100-mL beakers, disposable gloves, safety glasses, sealable plastic bags, water",N/A,N/A,,,
Population Perspectives,1,Census vs Sampling; Simple Population Equations,"• Spotlight the U.S. Population.
• Define demography.
• Distinguish between two types of population measurements.
• Use simple equations to calculate population growth.","Jar of beads, 100 ml graduated cylinder, 500 ml graduated cylinder, pizza pen, blank paper, pencil","Fill one of the 16-ounce plastic specimen jars ¼ full of pony beads.",N/A,,,
Population Perspectives,2,Population Growth Rates,"• Spotlight the country of Mexico.
• Define crude rate as it is related to population growth.
• Express growth rates as percentages of the starting population.
• Demonstrate different growth rates.
• Solve population using growth rates.","Two-Color counters kits, Two Population Growth worksheets",N/A,N/A,,,
Population Perspectives,3,Growth; doubling time,"• Spotlight the country of China.
• Define and identify functions.
• Relate the exponential growth function to population changes.
• Relate doubling time to exponential growth.","Two-Color counter kits, paper, pencil",N/A,N/A,,,
Population Perspectives,4,Exponential growth; exponential decay; graphing calculator,"• Spotlight the country of Germany.
• Compare the exponential growth and exponential decay functions.
• Graph exponential functions using paper and using the graphic calculator.
• Relate exponential functions to population growth.","Grid paper, graphing calculator, pencil",N/A,"1. Define exponential growth and contrast it with linear growth.
2. Draw an exponential growth curve and write the general equation for this curve.
3. Show how to graph the equation, y = 1,000 (1 – 0.02) x, on the graphing calculator; including the use of the WINDOW, GRAPH, and TRACE keys.
4. Explain how exponential growth and decay relate to human populations.",,,
Population Perspectives,5,"Algebra tiles, polynomials, population cohorts","• Spotlight the Democratic Republic of the Congo.
• Use Algebra Tiles to practice adding and subtracting polynomials.
• Construct and solve polynomials related to population characteristics.","Algebra tiles, Population Cohort worksheet",N/A,"1. Use Algebra Tiles to construct the polynomial equation x + 3 = 2x – 5 and explain the process.
2. Use Algebra Tiles to show and explain how to solve the equation you just constructed.
3. Define the term cohort and explain its use in demography.
4. Construct and explain a polynomial expression describing the total population, P, given a population having three age cohorts comprising 15, 60, and 25% of the population, respectively.",,,
Population Perspectives,6,Quadratic functions; graphing calculator,"• Spotlight the country of Haiti.
• Define quadratic functions.
• Solve quadratic equations using several methods.
• Look at uses of quadratic functions.","Graphing calculator, algebra tiles, grid paper",N/A,"1. Give an example of one situation that can be modeled using a quadratic equation.
2. Write the general equation for a quadratic function and explain why it is quadratic.
3. Use the graphing calculator to graph the equation, x² - 7x +6.
4. Use the graphing calculator and the Quadratic Formula to solve the equation, x² - 7x+6 for its two roots.",,,
Population Perspectives,7,Demographic transitions; population recommendations,"• Spotlight world population.
• Define carrying capacity and demographic transition.
• Compare population problems in more developed and less developed countries.
• Make recommendations for dealing with future population growth.","Population Recommendations Worksheet","Students will need access to a printer.",N/A,,,
Projectile Motion,1,Parabolas,"• Observe objects traveling through the air in a curved path called a parabola.
• Build a straw rocket and learn to launch it safely.
• Observe graphs of quadratic equations.
• Learn how to recognize the parts of a parabola.","Straw rocket launcher, plastic straw, safety glasses, poster putty, masking tape, metric tape measure, marker",N/A,"1. Describe what a parabola is and how it is used in math.
2. Define vertex.
3. Define line of symmetry.
4. Successfully created straw rocket.",,,
Projectile Motion,2,"Quadratic equations, launch angle predictions","• Learn how to determine if an equation is a quadratic equation.
• Learn how to substitute a number for X and a quadratic equation.
• Calculate the value for Y.
• Predict the launch angle that will travel the greatest horizontal distance.
• Test your prediction.","Your straw rocket, straw rocket launcher, metric tape measure, safety glasses",N/A,N/A,,,
Projectile Motion,3,"Quadratic equations, equations, coefficients, graphing","• Learn the general form of a quadratic equation.
• Identify the coefficients in a quadratic equation.
• Determine the X&Y coordinates of the vertex.
• Use the coefficients in a quadratic equation to predict the shape of a parabola.
• Collect data to determine the launch speed of your straw rocket.","Your straw rocket, straw rocket launcher, metric tape measure, safety glasses",N/A,"1. Demonstrate how to enter and graph the equation Y equals - 4 X² +2X - 3 in the calculator.
2. Identify the A, B, and C coefficients in the equation 2X²- 3X + 5.
3. Identify the X coordinate of the vertex.
4. Identify the Y coordinate of the vertex.",,,
Projectile Motion,4,"Quadratic equations, straw rocket paths","• Predict the path of your straw rocket using equations of the vertex.
• Graph quadratic equations using a graphing calculator.
• Predict where your straw rocket will land using a quadratic equation that describes the straw rocket's path.","Graphing calculator, metric tape measure, masking tape, hula hoop, straw rocket launcher, your straw rocket, safety glasses",N/A,N/A,,,
Projectile Motion,5,"Quadratic equation roots, straw rocket paths","• Identify the roots of a quadratic equation on a graph.
• Identify three types of roots.
• Find the roots of a quadratic equation with a graphing calculator.
• Use a graphing calculator to predict where your straw rocket will land.
• Test your prediction.",N/A,N/A,N/A,,,
Projectile Motion,6,"Square roots, quadratic formula","• Using a graphing calculator.
• Taking the square root when the equation has an ""x-squared"" term but no ""x"" term.
• Using the Quadratic Formula.",N/A,N/A,N/A,,,
Projectile Motion,7,"Quadratic formula, three-ring challenge","• Practice using the Quadratic Formula.
• Complete a three-ring challenge in which your straw rocket will fly through three hula hoops that you have placed along the rocket's parabolic path.",None,N/A,"1. Identify the a, b, and c coefficients in the equation 0=2x²+7x+5.
2. Find the roots of the quadratic equation 0=2x²+7x+5.
3. Demonstrate how to use the TRACE function.
4. Successfully set up the three-ring challenge so that your straw rocket flies through all three of the hula hoops.",,,
Properties of Math,1,Finding integers on a number line and ordering integers,"• Be introduced to positive and negative numbers called integers.
• Locate integers on a number line and a thermometer.
• Name pairs of opposites.
• Order integers from least to greatest.","Number line, clothespins, demonstration thermometer",N/A,N/A,,,
Properties of Math,2,Addition and subtraction of integers and absolute value,"• Define an expression.
• Investigate addition and subtraction of integers.
• Explore absolute values.",N/A,N/A,"1. Order numbers on a real number line given a set of numbers such as zero, - 1, 2, - 4, and - 5.
2. Define an expression.
3. Solve the expression 2 plus - 7 - (- 2) + 3 - 1.
4. Define what an absolute value of a real number is.",,,
Properties of Math,3,"Multiplication, quadrants, and Modulo arithmetic","• Investigate multiplication of integers.
• Explore quadrants.
• Investigate Modulo arithmetic.",N/A,N/A,N/A,,,
Properties of Math,4,Multiplication and division of integers,"• Investigate division of integers.
• Explore how division is related to multiplication.",N/A,N/A,"1. Define subsets and supersets and provide examples of each.
2. Explain the communitive property of multiplication.
3. Solve the expression - 18 / 2 * 3.
4. Explain what modulo arithmetic is and solve an example such as ""what is 12 + 20 equals ___ (mod 3)""?",,,
Properties of Math,5,Rational numbers and simplification,"• Extend integer division to rational numbers.
• Explore the greatest common divisor.
• Learn about prime factorization.
• Reduce fractions to their simplest form.",N/A,N/A,"1. Reduce fractions to their simplest forms such as 2/5, 7 / 0, 10 / 2, 5 / 5, and 4 / 6.
2. Recite the Prime Factorization Theorem and define the greatest common divisor.
3. Find the prime factorization of 222.
4. Find the GCD of 12 and 160.",,,
Properties of Math,6,Properties of multiplication and addition; Simplifying expressions,"• Use numbers and algebraic symbols to demonstrate and identify the communicative property of addition and multiplication, the associative property of addition and multiplication, the identity property of addition and multiplication, and the zero property of multiplication.
• Simplify expressions using the order of operations including grouping symbols and the fraction bar.
• Simplify numerical and algebraic expressions containing powers.",N/A,N/A,N/A,,,
Properties of Math,7,Least common multiple and performing operations with rational numbers,"• Examine least common multiples.
• Learn to add, subtract, multiply, and divide rational numbers.",N/A,N/A,N/A,,,
Rocks & Resources,1,Rock cycle processes,"• Identify the three types of rocks.
• Explore the rock cycle and its processes.
• Learn the difference between constructive and destructive processes.","Rock Cycle Kit, two 500 milliliter beakers, one ""Rock Cycle Processes"" worksheet, paper towel, cup warmer",N/A,N/A,,,
Rocks & Resources,2,Rock identification,"• Learn what rocks are made of.
• Compare characteristics of the three types of rocks.
• Practice identifying specific rock types.","Washington School Collection, two hand lenses, one ""Rock ID worksheet""",N/A,N/A,,,
Rocks & Resources,3,Rocks and minerals,"• Explore the definition and properties of minerals.
• Identify minerals by fluorescence.
• Determine mineral hardness using the Moh's hardness scale.","Washington School Collection, Hardness Collection, Fluorescent Long Wave Collection, dark box, two hand lenses, UV flashlight",N/A,"1. Name the three major types of rocks and show an example of each from the Washington school collection.
2. Explain the difference between a rock and a mineral and show an example of each.
3. List four properties that can be used to identify minerals and explain or demonstrate any two requested by the instructor.
4. Explain how the Moh's hardness test is used to determine mineral hardness.",,,
Rocks & Resources,4,Rocks as Resources,"• Learn how rocks, minerals, and metals are used as resources.
• List important mineral and metal resources in their uses.
• Look at the types and amounts of resources used in cars, bicycles, and cell phones.",N/A,N/A,"1. Explain the difference between renewable and nonrenewable resources and give an example of each.
2. Name one nonmetallic resource and one metallic resource and tell how each is used.
3. Name the two minerals used in making toothpaste.
4. Using either a cell phone or car as an example describe the life cycle of a manufactured product.",,,
Rocks & Resources,5,Mining damage,"• Trace the history of Picher, Oklahoma, as a case study of the mining industry.
• Explore damages resulting from Picher's lead and zinc mines.
• Consider ways the mining damage could have been decreased or prevented.","Container labeled bird seed",N/A,N/A,,,
Rocks & Resources,6,Land mining,"• Review the mining life cycle.
• Explore types of land mining.
• Learn types of environmental damage caused by land mining.
• Conduct a mining activity.","Container labeled ""Bird Seed Mining Kit"", cookie sheet, student module notebook",N/A,N/A,,,
Rocks & Resources,7,Undersea mining,"• Look at some materials mined in the U.S.
• Explore undersea mining.
• Consider possible environmental impacts of undersea mining.
• Develop an informed opinion about undersea mining.",N/A,N/A,"1. Describe differences between surface and underground mining and give an example of each type.
2. Give one use for each of the following mind products: iron, copper, and gold.
3. Give one reason undersea mining has recently become more important.
4. List three ways mining-either land or undersea mining-can damage the environment.",,,
Soils,1,Apple Activity,"• Examine the role of agriculture.
• Complete an activity to help you better recognize how limited our agricultural soil really is.
• Investigate organic and inorganic soil-forming processes.
• Categorize soils based on the parent material from which they form.","Cutting board, apple or other semi-round fruit or vegetable, paring knife, resealable plastic bags, cut-resistant glove","This session will require students to use a paring knife. You may want to keep the knife stored, distribute it for this activity, and collect it when the activity has concluded.",N/A,,,
Soils,2,Material Hardness,"• Compare and contrast minerals and rocks.
• Utilize the Mohs' hardness scale to determine the hardness of different materials.
• Follow the scientific method of problem solving to answer a question.","Rock Hardness Kit, ""Materials Hardness Experiment"" worksheet","Remove and store Rock Hardness kit instructions. Remove the glass plate and replace it with a penny. You can save the glass plate and have the students determine its hardness as an enrichment activity. The penny and nail will have limited life expectancies of two to four rotations. When they become extremely scratched, it is difficult to tell whether the scratch was there before or after the hardness test was performed. For this reason, scratched nails and pennies will need to be replaced. The minerals contained in the kit can break if dropped or abused. Students are instructed to scratch the materials with the minerals, not to scratch the minerals with the materials.",N/A,,,
Soils,3,Separation Method,"• Evaluate the texture of a soil using the separation method.
• Collect and interpret data in order to complete a portion of the ""Soil Texture"" worksheet.","Digital scale, foam plate, masking tape and dispenser, dropper pipette, funnel, wash bottle filled with tap water, numbered soil sample, marker, soil texture unit (stand, graduated tubes, and caps), ""Soil Texture"" worksheet, mortar and pestle, stopwatch, resealable plastic bag, handled beaker","During this session, students will be texturing one of the eight different soil samples. Sample Numbers 2, 4, and 7 will never be selected for the students to texture. Peat and muck are not actual soil textural classes but are composed entirely of organic matter. Sandy soil is simply too easy to texture. Starting this session on time is critical, because the texture by separation method is accomplished by letting soil particles settle out of a suspension for a specific amount of time. It is critical that Tube B be poured into Tube C before the students leave class. If less than the prescribed time of 20 minutes passes before doing so, the accuracy of the results may be compromised, depending on the soil sample being textured. Students are instructed to take the mass of the soil and container before starting the activity. In Session 7, after the soil has dried and been recovered, students should return it to its container and again take its mass. Ideally, students should return the same amount of soil to the container that they had originally. Any rock or debris found in the sample after taking the beginning mass can be removed only with the instructor's permission and after its mass has been taken. A small amount of soil will be lost through residues on the equipment, but this amount should be very small. The smaller the better. Recovery of soil is not necessary with soil samples other than those provided with the Module. There is nothing wrong with introducing local soil samples into this activity. The key is that you must know the texture of the soils the students are texturing, so that their results can be evaluated. You should be able to follow the texture by separation procedure in Session 3 and the texture by feel method in the Enrichments and arrive at the same texture for any one soil sample. If soil samples become accidentally spilled, you could then replace them with local soil samples. The Texture by Feel Enrichment offers another way of texturing soils, and these two methods can be compared if the students are able to complete this enrichment. However, the texture by feel method will take a complete class period.",N/A,,,
Soils,4,Soil Texturing,"• Finish the soil separation activity.
• Complete the ""Soil Texture"" worksheet.
• Learn about the essential soil nutrients.",N/A,N/A,N/A,,,
Soils,5,Soil Fertility,"• Determine the pH, nitrogen, phosphorus, and potassium levels of a soil sample using a soil test kit.
• Learn about soil fertility and essential plant nutrients.
• Analyze soil test results and make soil amendment recommendations.","Handled beaker, protective gloves, goggles, soil sample, distilled water, soil test kit, tweezers, ""Soil Fertility"" worksheet, paper towels, test tube rack","Students must start this session on time and proceed quickly. This session deals with the chemical properties of soil. During this session, students will be required to use a soil sample other than those provided with this Module. You will need to provide a sample for the students to use or instruct students to bring a sample from home. Each class hour will require a soil sample roughly equivalent to what is found in the jars of different textural classes. Resealable bags make good soil containers. With the use of a soil test kit, students will determine pH, nitrogen, phosphorus, and potassium levels of a soil sample. Students must refer to the Soils Student Module Notebook in order to complete all the questions on the ""Soil Fertility"" worksheet. Though portions of the students' Performance Assessment relate to the ""Soil Fertility"" worksheet, you may choose to defer those assessment questions until a later time and instead allow the students to obtain the needed information during class and complete the worksheet at home. Distilled water will need to be provided from your classroom stock. Only distilled water should ever touch the tubes in the soil test kit. The use of tap water will produce inaccurate test results. Safety goggles and plastic gloves should be worn. Students are instructed to discard the wastewater and chemicals outside because they will contain soil and could damage indoor plumbing.","1. Name the three nutrients that must be provided to plants in the greatest amounts.
2. Demonstrate your ability to successfully determine the levels of the three main plant nutrients in a soil sample.
3. Plan soil amendments based on a soil's nutrient and pH levels.
4. Evaluate your soil amendment recommendations.",,,
Soils,6,Soil Texturing Triangle,"• Interpret data and complete a portion of the ""Soil Texture"" worksheet.
• Learn how to use the soil texture triangle.
• Define erosion.
• Discover the main causes of erosion.
• Examine soil conservation practices.",N/A,N/A,"1. Describe the steps necessary in the separation method of soil texturing and evaluate the effectiveness of the test. Assess possible reasons for any discrepancies between the soil sample's actual texture and the texture you determined the soil sample to have.
2. Demonstrate the ability to successfully interpret the soil texture triangle and justify your determination of the soil sample's texture.
3. Describe two different soil conservation practices.",,,
Soils,7,Soil Organisms,"• Identify organisms that are present in topsoil.
• Create a decomposer food web.
• Identify what nutrients are recycled during biogeochemical cycles.
• Learn how animals play an important role in maintaining biogeochemical cycles.
• Calculate the amount of soil lost during the soil texture experiment.","""Decomposer Food Web"" worksheet, ""Topsoil Animals"" worksheet","This session deals with the biological properties of soil and shows their relationship to soil's physical and chemical properties. The information needed to properly complete the ""Topsoil Animals"" worksheet is found in the videos. Students should have time to watch the videos and fill out the ""Topsoil Animals"" worksheet; however, they may need to complete their ""Decomposer Food Web"" worksheet as homework. They can do this using the information on the ""Topsoil Animals"" worksheet.","1. Name five kinds of organisms often found in topsoil.
2. Define humus and explain how it is produced.
3. Define decomposers and explain why they are important in the soil ecosystem.
4. Show the decomposer food web you created during this session and explain the different levels.",,,
Statistical Analysis,1,Statistics,"• Define statistics.
• Explore some of the uses and misuses of statistics.
• Complete a statistical analysis of a piece of music.",None,N/A,N/A,,,
Statistical Analysis,2,Sports statistics,"• Look at the ways in which statistics can be used in sports.
• Complete an analysis of your ability to shoot a basketball.","Basketball hoop, ball, ""Sharpshooter"" worksheet, pencil, masking tape, measuring tape",N/A,"1. Define mean, median, and mode.
2. Identify two ways in which statistics are used.
3. Construct a bar graph of basketball shot data.
4. Complete the ""Sharpshooter"" worksheet to the instructor's expectations.",,,
Statistical Analysis,3,Surveys,"• Learn more about different types of graphs used in statistics.
• Learn about surveys.
• Create your own survey questions.","""Synergistic Survey"" worksheet",N/A,N/A,,,
Statistical Analysis,4,Graphing data,"• Review graph types.
• Construct a histogram using age data generated by your survey.
• Create a box-and-whisker plot using survey data.","""Synergistic Survey Statistics"" information sheet in the student Module notebook, graph paper, ruler",N/A,N/A,,,
Statistical Analysis,5,Probabilities,"• Define probability, theoretical, probability, and experimental probability.
• Conduct a probability experiment using two-color chips.
• Calculate theoretical and experimental probabilities using dice.
• Define dependent and independent events.","Two-color chips, paper, pencils, jumbo dice",N/A,"1. Define theoretical and experimental probability.
2. Define dependent and independent events.
3. Give examples of independent events.
4. Complete a histogram of the results of a probability experiment.",,,
Statistical Analysis,6,Pascal's triangle,"• Use the Binostat to generate probability information.
• Calculate probabilities for a specific event.
• Generate Pascal's triangle.
• Play a game based on Pascal's triangle.","Binostat, marbles",N/A,N/A,,,
Statistical Analysis,7,Statistics in games,"• Create a fair game.","Dice, two-colored chips, cards, paper, pencils",N/A,N/A,,,
Supply & Demand,1,Paper Airplane Activity,"• Explore the concept of supply.
• Investigate factors that affect a company's supply of goods.
• Learn how to solve a linear equation.","Four sheets of white copy paper, paper airplane design templates from the student module notebook",N/A,N/A,,,
Supply & Demand,2,Graphing Supply and Demand,"• Explore the concept of demand.
• Learn how to graph and write equations of supply and demand lines.
• Determine the equilibrium point on a supply and demand chart by graphing.","Supply and demand whiteboard, red/blue/black dry erase markers, eraser (whiteboard), ruler",N/A,N/A,,,
Supply & Demand,3,Supply and Demand Chart,"• Explore market elasticity.
• Learn how to solve a system of equations using substitution.
• Create a supply and demand chart that you will use in a business situation.","Poster board, markers, meterstick","Students are asked to create a supply and demand graph on poster boards. This assumes students know how to make a graph, therefore there are no specific instructions as to how to set up the graph. Students may need support in creating this graph. It may be beneficial to create an example graph for them to use as a model.","1. Determine if a market is elastic or inelastic.
2. Determine if a system of equations is consistent or inconsistent, dependent or independent.
3. Explain the steps in solving a system of equations.
4. Explain how the equilibrium point on a supply and demand chart is related to the solution of a system of equations.",,,
Supply & Demand,4,Finding Product Equilibrium,"• Explore the four kinds of market shifts and what causes these shifts.
• Learn how to solve a system of equations by elimination through the use of addition and subtraction.
• Solve systems of equations to determine the equilibrium price and quantity of your company's products.","Whiteboard, eraser, dry-erase markers",N/A,N/A,,,
Supply & Demand,5,Supply and Demand of Labor,"• Explore solving a system of equations with three variables.
• Investigate the supply and demand of labor.
• Learn how to determine the possible number of solutions to a system of equations.","Colored pattern blocks",N/A,"1. Explain how to solve a system of equations by elimination through multiplication.
2. Describe the supply and demand of labor.
3. Solve a system of equations with three equations and three unknowns.
4. Explain how to determine the number of possible solutions to a system of equations.",,,
Supply & Demand,6,Graphing Calculator,"• Explore using a graphing calculator to solve a system of equations.
• Use the graphing calculator to solve supply and demand systems.","Two graphing calculators",N/A,N/A,,,
Supply & Demand,7,Company Cafeteria,"• Explore influences that affect supply and demand.
• Play a supply and demand game.","Graphing calculator","During the cafeteria game, student outcomes can vary from game to game and student to student due to the varied game components. It may not be reasonable to compare students' scores.","1. List some factors that influence supply and demand.
2. Explain how decisions about supply and pricing affect the demand of a product.
3. Calculate the market price and quantity of a product.
4. Apply your supply and demand knowledge to run a simplified business.",,,
The Universe,1,Telescope,"• Define universe.
• Consider what objects are contained in the universe.
• Explore methods by which we learn about the universe.
• Learn to focus a telescope.
• Solve problems relating to focal length and magnification.","Reflecting telescope, baby wipes, lens paper",N/A,N/A,,,
The Universe,2,"Powers and Roots, Star Magnitudes","• Define and compare apparent and absolute magnitudes of stars.
• Use powers to calculate light intensities of stars given their magnitudes.
• Calculate distances to stars based on their magnitudes.","Stellarscope, Star Wheel",N/A,"1. Explain the difference between absolute magnitude and apparent magnitude of a star, using as an example our Sun, which has an absolute magnitude of 4.85 and an apparent magnitude of -26.7.
2. Use the expression x³ as an example and define the words power, exponent, and root.
3. Use the calculator to show the change in light intensity equivalent to a change of 1 magnitude if a change of 5 magnitudes equals a change in light intensity of 100 times.
4. Calculate how much brighter or dimmer a magnitude 6 star is compared to a magnitude 1 star and explain your answer.",,,
